recorded_utc,recorded_wib,timestamp_source,event_date,source,url,event_id,event_label,event_text,event_code,event_root_code,actor1,actor2,country,goldstein_scale,num_mentions,num_sources,num_articles,avg_tone,dedup_key,news_id
2025-10-21 05:15:00+00:00,2025-10-21 05:15:00+00:00,DATEADDED_UTC,2025-10-21,thestar.com.my,https://www.thestar.com.my/news/nation/2025/10/21/two-policemen-plead-not-guilty-to-extortion,1269749274,DEPUTY 112 LAWYER,actor1 DEPUTY actor2 LAWYER event_code 112 event_root_code 11 country,112,11,DEPUTY,LAWYER,,-2.0,5,1,5,-14.2857142857142,1269749274,1269749274
2025-10-21 05:30:00+00:00,2025-10-21 05:30:00+00:00,DATEADDED_UTC,2025-10-21,watoday.com.au,https://www.watoday.com.au/politics/federal/inside-albanese-s-extremely-successful-trump-meeting-with-one-glaring-exception-20251021-p5n3xz.html,1269750833,AUSTRALIA 112 AMBASSADOR,actor1 AUSTRALIA actor2 AMBASSADOR event_code 112 event_root_code 11 country AS,112,11,AUSTRALIA,AMBASSADOR,AS,-2.0,10,1,10,0.3448275862069,1269750833,1269750833
2025-10-21 05:30:00+00:00,2025-10-21 05:30:00+00:00,DATEADDED_UTC,2025-10-21,yahoo.com,https://www.yahoo.com/news/articles/lawmaker-questions-lenient-sentence-stillwater-032106903.html,1269751384,LAWMAKER 173 UNITED STATES,actor1 LAWMAKER actor2 UNITED STATES event_code 173 event_root_code 17 country US,173,17,LAWMAKER,UNITED STATES,US,-5.0,6,1,6,-6.27376425855513,1269751384,1269751384
2025-10-21 06:30:00+00:00,2025-10-21 06:30:00+00:00,DATEADDED_UTC,2025-10-21,kaieteurnewsonline.com,https://kaieteurnewsonline.com/2025/10/21/trump-threatens-to-eradicate-hamas/,1269758325,HAMAS 1056 ISRAEL,actor1 HAMAS actor2 ISRAEL event_code 1056 event_root_code 10 country IS,1056,10,HAMAS,ISRAEL,IS,-5.0,10,1,10,-6.12009237875288,1269758325,1269758325
2025-10-21 06:45:00+00:00,2025-10-21 06:45:00+00:00,DATEADDED_UTC,2025-10-21,economictimes.indiatimes.com,https://economictimes.indiatimes.com/news/international/business/fire-at-mols-danube-refinery-in-hungary-contained-no-injuries-state-news-agency-says/articleshow/124714640.cms,1269760049,STATE NEWS AGENCY 190 HUNGARY,actor1 STATE NEWS AGENCY actor2 HUNGARY event_code 190 event_root_code 19 country HU,190,19,STATE NEWS AGENCY,HUNGARY,HU,-10.0,12,1,10,-1.0989010989011,1269760049,1269760049
2025-10-21 06:45:00+00:00,2025-10-21 06:45:00+00:00,DATEADDED_UTC,2025-10-21,rnz.co.nz,https://www.rnz.co.nz/news/political/576566/state-abuse-redress-carve-out-for-criminals-decried-by-opposition,1269760410,NEW ZEALAND 173 MINIST,actor1 NEW ZEALAND actor2 MINIST event_code 173 event_root_code 17 country NZ,173,17,NEW ZEALAND,MINIST,NZ,-5.0,8,1,8,-9.25480769230768,1269760410,1269760410
2025-10-21 06:45:00+00:00,2025-10-21 06:45:00+00:00,DATEADDED_UTC,2025-10-21,boston25news.com,https://www.boston25news.com/news/british-military/4SDKK2LVPUYZHA4FY2D5WUFTMA/,1269760458,REBEL 190 DUTCH,actor1 REBEL actor2 DUTCH event_code 190 event_root_code 19 country DJ,190,19,REBEL,DUTCH,DJ,-10.0,10,1,10,-6.86274509803921,1269760458,1269760458
2025-10-21 07:15:00+00:00,2025-10-21 07:15:00+00:00,DATEADDED_UTC,2025-10-21,naturalnews.com,https://www.naturalnews.com/2025-10-20-houthis-detain-un-employees-aid-workers-crackdown.html,1269763969,THE UN 120 WORKER,actor1 THE UN actor2 WORKER event_code 120 event_root_code 12 country YM,120,12,THE UN,WORKER,YM,-4.0,5,1,5,-11.1607142857142,1269763969,1269763969
2025-10-21 07:30:00+00:00,2025-10-21 07:30:00+00:00,DATEADDED_UTC,2025-10-21,eng.kavkaz-uzel.eu,https://www.eng.kavkaz-uzel.eu/articles/69108,1269766233,MILITARY 190 ASTRAKHAN,actor1 MILITARY actor2 ASTRAKHAN event_code 190 event_root_code 19 country RS,190,19,MILITARY,ASTRAKHAN,RS,-10.0,23,1,10,-3.7037037037037,1269766233,1269766233
2025-10-21 07:45:00+00:00,2025-10-21 07:45:00+00:00,DATEADDED_UTC,2025-10-21,britannica.com,https://www.britannica.com/event/No-Kings-protests,1269768799,SALT LAKE CITY 193 KING,actor1 SALT LAKE CITY actor2 KING event_code 193 event_root_code 19 country US,193,19,SALT LAKE CITY,KING,US,-10.0,8,1,8,-7.92079207920793,1269768799,1269768799
